duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,key,mode,time_signature,explicit,popularity
197783,0.572,0.86,-3.471,0.114,0.081,0.0,0.146,0.897,182.066,sertanejo,0,1,4,0,52
95760,0.555,0.0863,-4.599,0.0604,0.657,0.982,0.13,0.651,128.021,iranian,0,0,3,0,0
226384,0.633,0.597,-7.583,0.0343,0.373,1.22e-06,0.102,0.708,76.993,guitar,7,1,4,0,20
177600,0.798,0.906,-3.874,0.097,0.225,0.000337,0.05,0.721,100.003,k-pop,6,0,4,0,44
308240,0.627,0.519,-7.983,0.0256,0.0722,0.0,0.179,0.216,108.976,j-pop,9,0,4,0,36
215866,0.816,0.968,-5.567,0.0542,0.13,0.00692,0.218,0.831,130.085,industrial,9,1,4,0,51
247613,0.858,0.76,-7.895,0.254,0.0217,0.0,0.322,0.951,93.083,hardcore,4,0,4,0,0
246520,0.64,0.852,-8.119,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,synth-pop,1,0,4,0,69
221373,0.906,0.775,-5.775,0.268,0.0831,2.74e-05,0.15,0.838,100.054,hardcore,2,1,4,1,65
194763,0.484,0.784,-4.389,0.0368,0.0152,0.0,0.126,0.52,147.883,hardstyle,11,0,4,0,21
343544,0.373,0.672,-5.797,0.0326,0.154,4.28e-05,0.321,0.47,84.503,pop-film,4,1,4,0,58
237772,0.495,0.426,-9.434,0.0736,0.152,5.65e-06,0.099,0.0636,97.91,edm,8,1,4,0,72
168000,0.84,0.32,-10.168,0.0603,0.657,0.0029,0.0802,0.447,139.918,sad,7,0,4,0,21
218360,0.705,0.399,-10.309,0.0295,0.557,0.881,0.145,0.44,89.06,guitar,0,1,4,0,22
96219,0.24,0.86,-22.247,0.0673,0.000592,0.978,0.82,0.0223,112.507,world-music,8,0,3,0,24
424294,0.545,0.691,-14.343,0.0309,0.247,0.828,0.107,0.103,99.953,chicago-house,4,0,4,0,13
210360,0.387,0.588,-6.693,0.0283,0.36,0.64,0.0823,0.0385,149.984,idm,4,0,4,0,13
188240,0.598,0.704,-7.133,0.0443,0.349,1.37e-05,0.219,0.807,164.976,swedish,2,1,4,0,37
193322,0.635,0.824,-7.266,0.0525,0.00443,0.0,0.058,0.805,76.477,swedish,0,1,4,0,36
168360,0.416,0.862,-8.314,0.0613,9.26e-05,0.00531,0.477,0.532,101.795,ska,0,1,4,0,32
265184,0.688,0.14,-22.156,0.0507,0.941,0.0208,0.325,0.448,120.337,bluegrass,9,0,4,0,24
331226,0.488,0.385,-12.084,0.0274,0.75,0.81,0.132,0.144,76.913,trip-hop,2,1,4,0,44
92703,0.538,0.0485,-21.621,0.0388,0.995,0.934,0.101,0.481,81.769,piano,1,1,4,0,61
115600,0.509,0.646,-16.48,0.93,0.874,1.96e-06,0.731,0.339,51.142,comedy,2,1,5,1,22
384120,0.568,0.239,-14.44,0.0266,0.922,0.728,0.112,0.0893,84.991,idm,5,0,4,0,36
240173,0.136,0.99,-3.845,0.107,2.32e-06,0.868,0.29,0.0359,199.951,death-metal,4,1,4,0,23
388893,0.678,0.55,-9.181,0.0324,0.613,0.000907,0.113,0.654,122.03,punk,2,1,4,0,36
224266,0.642,0.972,-3.047,0.0967,0.00152,2.39e-05,0.384,0.421,118.035,industrial,5,0,4,1,30
153948,0.748,0.876,-3.982,0.246,0.0783,0.16,0.045,0.155,154.94,hardstyle,9,0,4,0,32
204831,0.453,0.888,-3.761,0.0528,0.0117,5.26e-06,0.0879,0.229,96.548,grunge,8,0,4,0,49
210531,0.61,0.79,-4.373,0.0359,0.283,0.0,0.164,0.918,152.092,forro,7,1,4,0,47
273893,0.632,0.51,-8.018,0.0345,0.564,1.51e-06,0.279,0.443,134.024,spanish,10,1,4,0,60
176453,0.456,0.44,-14.748,0.24,0.905,0.00579,0.73,0.619,181.242,romance,7,1,4,0,0
249767,0.449,0.775,-12.029,0.0405,0.162,0.149,0.248,0.313,94.907,bluegrass,7,1,4,0,59
159226,0.556,0.92,-4.606,0.0367,0.00271,0.00021,0.117,0.771,121.138,power-pop,8,1,4,0,75
136800,0.516,0.328,-12.08,0.047,0.814,0.0,0.232,0.766,142.65,rock-n-roll,0,1,4,0,34
316200,0.742,0.924,-6.351,0.043,0.00228,0.7,0.18,0.69,125.988,idm,7,1,4,0,10
249200,0.437,0.961,-1.91,0.125,0.0599,0.0,0.367,0.619,161.968,j-pop,11,1,4,0,50
196625,0.681,0.698,-3.974,0.0373,0.374,0.0,0.383,0.464,100.183,sertanejo,4,1,4,0,46
212426,0.423,0.984,-3.388,0.258,0.000106,2.89e-05,0.342,0.12,140.09,heavy-metal,7,1,4,0,30
105880,0.492,0.501,-13.694,0.0489,0.28,0.893,0.121,0.0726,99.964,british,2,1,4,0,49
191150,0.547,0.735,-5.676,0.0322,0.114,0.0297,0.106,0.546,113.136,rockabilly,1,1,4,0,28
399880,0.182,0.309,-8.957,0.0371,0.946,0.0461,0.101,0.061,87.018,opera,3,1,3,0,0
213773,0.549,0.901,-6.208,0.296,0.721,0.0,0.913,0.35,152.298,afrobeat,2,1,4,0,33
432040,0.55,0.49,-10.732,0.0572,0.368,9.96e-05,0.917,0.609,74.656,country,2,1,4,0,65
144932,0.464,0.984,-5.194,0.118,0.000875,0.0,0.982,0.595,89.201,emo,4,1,4,0,36
293120,0.754,0.836,-4.703,0.0425,0.0179,2.53e-06,0.35,0.965,131.13,disco,8,1,4,0,55
272266,0.659,0.78,-8.425,0.031,0.0144,0.0351,0.181,0.807,114.422,power-pop,4,1,4,0,0
261399,0.495,0.357,-5.341,0.0251,0.686,0.0,0.154,0.367,78.908,gospel,4,1,3,0,39
207600,0.462,0.15,-13.531,0.0522,0.984,0.000902,0.105,0.19,98.66,blues,8,1,3,0,67
234843,0.589,0.685,-6.167,0.0329,0.165,2.88e-06,0.111,0.196,128.036,electronic,9,0,4,0,38
261733,0.341,0.462,-9.99,0.043,0.72,1.84e-06,0.0722,0.218,114.522,j-pop,7,1,4,0,37
198688,0.753,0.645,-6.738,0.0435,0.186,0.0725,0.123,0.604,122.004,french,5,0,4,0,61
291462,0.261,0.237,-19.963,0.0435,0.896,0.774,0.0838,0.0783,138.979,iranian,9,0,4,0,0
271173,0.424,0.59,-5.531,0.0294,0.00389,0.000432,0.114,0.204,136.033,industrial,2,0,4,0,63
185866,0.698,0.159,-11.612,0.209,0.986,0.0,0.202,0.499,108.016,tango,8,1,4,0,0
148548,0.795,0.507,-7.188,0.0332,0.542,6.83e-06,0.116,0.784,120.009,indie-pop,10,1,4,1,66
377266,0.463,0.688,-6.968,0.0584,0.151,0.0,0.121,0.215,144.001,gospel,0,1,4,0,39
136294,0.423,0.607,-7.079,0.0382,0.0944,0.0,0.204,0.808,145.954,cantopop,0,1,4,0,30
209910,0.586,0.811,-12.527,0.0364,0.0666,0.631,0.318,0.0383,122.014,french,8,1,4,0,53
187880,0.445,0.907,-3.894,0.0773,0.00161,0.0,0.403,0.71,165.069,punk-rock,11,0,4,1,62
240000,0.624,0.937,-2.372,0.0331,0.00738,0.000305,0.306,0.818,128.065,disco,10,1,4,0,24
297266,0.468,0.254,-11.839,0.0303,0.938,0.000442,0.107,0.242,135.862,acoustic,6,1,4,0,45
177261,0.847,0.547,-7.736,0.0372,0.461,0.362,0.0721,0.938,97.577,ska,6,0,4,0,36
184653,0.501,0.359,-10.089,0.0438,0.817,0.0,0.245,0.438,102.897,tango,2,1,4,0,17
221958,0.735,0.175,-13.204,0.0383,0.845,0.0,0.101,0.604,142.861,malay,6,1,4,0,44
194427,0.676,0.306,-19.527,0.957,0.739,0.0,0.683,0.44,144.213,comedy,1,1,3,1,22
220000,0.514,0.983,-1.577,0.0608,0.0589,0.0,0.314,0.499,149.967,dubstep,10,0,4,0,47
245735,0.654,0.924,-4.892,0.174,0.0738,0.0,0.329,0.595,136.021,indian,6,1,4,0,54
94283,0.494,0.91,-6.016,0.0479,0.561,1.13e-06,0.107,0.507,90.447,anime,1,0,4,0,59
351627,0.664,0.865,-5.035,0.0399,0.00178,0.827,0.108,0.228,128.99,minimal-techno,9,1,4,0,18
215259,0.606,0.261,-13.874,0.0518,0.559,0.868,0.0951,0.635,87.944,guitar,7,1,4,0,38
193586,0.689,0.54,-7.744,0.0476,0.697,0.417,0.376,0.374,168.099,guitar,0,1,4,0,22
239328,0.578,0.949,-8.717,0.0424,0.0231,0.341,0.358,0.259,164.828,happy,1,1,4,0,17
374201,0.634,0.98,-5.576,0.0407,3.06e-05,0.802,0.124,0.206,145.986,trance,7,1,4,0,34
203373,0.407,0.967,-7.104,0.0666,0.000316,0.00142,0.089,0.227,180.027,goth,0,1,4,0,60
175360,0.35,0.091,-15.221,0.0393,0.939,2.12e-06,0.0979,0.227,152.065,romance,9,0,4,0,1
216413,0.567,0.892,-5.964,0.0477,8.21e-05,0.000482,0.422,0.621,143.98,industrial,0,0,4,0,24
105400,0.251,0.925,-4.404,0.0911,7.13e-06,0.577,0.299,0.589,95.929,black-metal,2,1,3,0,23
233666,0.45,0.846,-4.712,0.0472,0.00523,0.0,0.228,0.402,140.042,drum-and-bass,9,0,4,0,61
246680,0.238,0.98,-3.855,0.165,4e-06,0.169,0.234,0.13,185.3,death-metal,8,1,5,0,55
