track_genre,canciones,promedio,mediana
pop,416,41.94,65.0
metal,232,56.42,63.0
k-pop,912,59.47,61.0
pop-film,815,59.1,60.0
hip-hop,842,42.43,59.0
chill,972,53.74,57.0
edm,694,40.44,55.0
singer-songwriter,527,43.59,54.0
grunge,862,50.59,54.0
british,898,44.87,53.0
sad,564,51.11,52.0
metalcore,718,44.71,51.0
piano,793,46.63,51.0
deep-house,972,45.57,51.0
progressive-house,755,46.54,51.0
emo,932,48.5,50.0
anime,995,48.78,50.0
ambient,996,44.17,50.0
indian,733,49.77,49.0
mandopop,873,45.07,49.0
electronic,830,44.23,47.0
sertanejo,826,47.86,47.0
acoustic,1000,42.48,47.0
latino,398,51.79,46.0
pagode,845,45.59,45.0
indie-pop,601,39.56,45.0
brazil,936,44.64,45.0
alt-rock,998,33.89,45.0
funk,767,34.31,44.0
dub,932,40.34,44.0
electro,596,34.33,43.5
psych-rock,634,39.56,43.0
indie,134,34.35,43.0
world-music,919,41.61,43.0
reggaeton,73,48.38,42.0
r-n-b,489,39.6,42.0
folk,836,40.18,42.0
forro,998,41.83,41.0
techno,416,40.06,41.0
mpb,780,40.97,41.0
hard-rock,709,45.74,40.0
turkish,870,40.51,40.0
punk,226,41.88,40.0
dubstep,268,39.1,40.0
gospel,672,39.6,40.0
trance,708,38.55,39.0
minimal-techno,883,33.3,38.0
punk-rock,665,39.46,38.0
trip-hop,904,34.39,38.0
german,731,32.35,38.0
j-pop,728,37.19,38.0
swedish,766,36.49,37.0
club,994,33.35,37.0
samba,631,37.65,37.0
french,890,41.09,36.0
children,974,34.86,35.0
sleep,853,34.5,35.0
ska,746,35.72,35.0
cantopop,999,34.75,35.0
j-rock,460,36.9,34.0
blues,938,31.18,34.0
groove,636,35.52,33.0
garage,901,40.61,33.0
rock-n-roll,837,36.7,33.0
spanish,941,39.9,32.0
dancehall,938,34.96,32.0
disco,927,34.0,32.0
hardcore,757,37.01,32.0
synth-pop,838,35.53,29.0
salsa,988,28.11,29.0
malay,987,30.2,28.0
study,998,26.13,28.0
guitar,880,29.38,26.0
rockabilly,645,27.99,25.0
show-tunes,899,31.23,25.0
party,820,22.05,25.0
death-metal,901,32.5,25.0
bluegrass,998,25.68,24.0
new-age,971,29.04,24.0
goth,906,29.02,24.0
industrial,845,32.47,24.0
comedy,990,24.61,23.0
hardstyle,898,28.18,23.0
heavy-metal,997,26.18,23.0
disney,997,27.5,23.0
power-pop,891,27.08,23.0
opera,849,24.34,22.0
j-idol,995,24.62,22.0
house,210,32.09,21.5
afrobeat,999,24.41,21.0
j-dance,764,25.4,21.0
happy,995,21.69,19.0
drum-and-bass,954,26.75,19.0
tango,999,19.87,19.0
black-metal,992,22.43,19.0
grindcore,985,14.52,14.0
breakbeat,990,20.23,14.0
honky-tonk,981,16.41,13.0
kids,985,14.78,12.0
idm,988,15.53,12.0
chicago-house,995,12.34,9.0
detroit-techno,954,11.14,8.0
classical,851,13.16,4.0
reggae,256,24.83,2.5
alternative,407,22.22,1.0
dance,948,23.72,1.0
soul,445,26.62,0.0
iranian,971,2.25,0.0
romance,903,3.52,0.0
jazz,522,9.64,0.0
rock,342,18.18,0.0
latin,759,9.86,0.0
country,946,17.35,0.0
